,Date,Open,High,Low,Close,Adj Close,Volume,open_close_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,adjclose_lastadjclose_ratio,close_ma5_ratio,close_ma10_ratio,close_ma15_ratio,close_ma20_ratio,close_ma25_ratio,close_ma30_ratio,label
0,2012-09-04,43.139998999999996,43.389998999999996,42.869999,43.25,36.67268,24591000,-0.002543375722543484,0.0032369710982658173,-0.008786150289017303,0.0,0.0,,,,,,,1
1,2012-09-05,43.389998999999996,43.529999,43.080002,43.439999,36.833785999999996,8334800,-0.0011510129178411432,0.002071823252113747,-0.008287223947680111,0.004393040462427722,0.004393079534956268,,,,,,,1
2,2012-09-06,43.650002,44.259997999999996,43.619999,44.240002000000004,37.512131,9875400,-0.013336346594197801,0.0004519891296568268,-0.014014533724478695,0.01841627574623117,0.018416380005031208,,,,,,,0
3,2012-09-07,44.43,44.439999,43.919998,44.049999,37.351013,8338300,0.008626583623758899,0.00885357568339562,-0.002951214595941276,-0.004294823494809141,-0.004295090566835413,,,,,,,1
4,2012-09-10,43.970001,44.380001,43.889998999999996,44.259997999999996,37.529083,8995500,-0.006552124109901469,0.0027113195983425875,-0.008359670508796713,0.004767287281890686,0.004767474445739772,-0.009308595088503901,,,,,,1
5,2012-09-11,44.349998,44.57,44.279999,44.330002,37.588432,8564500,0.0004510714887853151,0.005413895537383473,-0.0011279719770823649,0.0015816539350048675,0.0015814135400002982,-0.00600049600719621,,,,,,1
6,2012-09-12,44.349998,44.57,44.310001,44.529999,37.758022,8948500,-0.004042241276493108,0.0008982933055983189,-0.0049404447550065456,0.004511549537038029,0.004511760426718414,-0.005569256805956768,,,,,,1
7,2012-09-13,44.080002,44.709998999999996,44.009997999999996,44.66,38.228817,11859900,-0.012986968204209526,0.0011195476936856075,-0.014554455888938667,0.0029194027154593183,0.012468741079710188,-0.006583081056874329,,,,,,0
8,2012-09-14,44.549999,44.549999,43.439999,43.619999,37.338581,16537400,0.021320495674472584,0.021320495674472584,-0.004126547549897941,-0.023287080161218054,-0.02328704024505912,0.015130688104783907,,,,,,1
9,2012-09-17,43.48,44.0,43.48,44.0,37.663857,11010400,-0.011818181818181839,0.0,-0.011818181818181839,0.008711623308381933,0.008711525486198912,0.005181818181817954,0.0008636318181818314,,,,,1
10,2012-09-18,43.759997999999996,44.139998999999996,43.689999,44.080002,37.732357,7534000,-0.007259618545389479,0.001361093404669056,-0.00884761756589758,0.0018182272727271798,0.0018187197344128325,0.0022231850170963963,0.0009300816274915302,,,,,1
11,2012-09-19,44.119999,44.779999,44.09,44.509997999999996,38.100418,9818100,-0.008762053864841746,0.006066075311888408,-0.009436037269648812,0.009754899738888323,0.009754519178327481,-0.00754882532234713,-0.006335612506655153,,,,,1
12,2012-09-20,44.360001000000004,44.970001,44.349998,44.889998999999996,38.425705,9965000,-0.011806594159202155,0.0017821786986451649,-0.012029427757394129,0.008537430174676786,0.00853762286807469,-0.014925360100810359,-0.013299162693231503,,,,,1
13,2012-09-21,44.950001,45.25,44.860001000000004,44.91,38.442818,20254600,0.0008906924961034068,0.007570696949454447,-0.0011133155199285483,0.00044555581299965397,0.00044535292195679865,-0.009619242930305472,-0.011823653974615933,,,,,1
14,2012-09-24,44.950001,45.25,44.790001000000004,45.139998999999996,38.639697999999996,9989300,-0.00420908294659017,0.0024368852998868373,-0.007753611159805107,0.005121331551992903,0.005121372735994445,-0.009614519486365602,-0.014909154074195019,-0.019480120059373496,,,,0
15,2012-09-25,45.220001,45.700001,44.860001000000004,45.110001000000004,38.614017,12805200,0.0024384836524389275,0.013079139590353783,-0.005542008300997381,-0.0006645547333750113,-0.0006646273477602938,-0.004389306043243835,-0.012524967578697477,-0.016079240018933683,,,,0
16,2012-09-26,45.110001000000004,45.369999,45.0,45.009997999999996,38.528419,12652800,0.0022217952553564846,0.007998245189879905,-0.00022212842577762348,-0.0022168698244987572,-0.002216759784406719,4.446567626970044e-05,-0.00926457272893011,-0.011567761752251937,,,,1
17,2012-09-27,45.07,45.439999,45.009997999999996,45.23,38.71674,9834300,-0.003537475127127987,0.004642913995136055,-0.00486407251824017,0.004887847362268216,0.004887846552956265,-0.0033163917753709082,-0.01282335617952679,-0.014916362296410912,,,,0
18,2012-09-28,45.049999,45.209998999999996,44.779999,45.099998,38.605465,12497300,-0.0011086253263248302,0.002439046671354639,-0.0070953218224090175,-0.0028742427592305386,-0.002874079790808781,0.00039913970727845083,-0.006696197636194889,-0.01052472626125911,,,,1
19,2012-10-01,44.970001,45.59,44.970001,45.220001,38.708179,8553700,-0.005528527078095369,0.008182197961472903,-0.005528527078095369,0.0026608205171096966,0.002660607766283851,-0.0019018442746169262,-0.006634263453466072,-0.011735248155640976,-0.01638658300781548,,,1
20,2012-10-02,45.43,45.599998,45.099998,45.470001,38.922176,7429500,-0.0008797228748687047,0.0028589618900600744,-0.008137299139272192,0.005528527078095369,0.005528469835793581,-0.005806056613018806,-0.009038959554893977,-0.015497426534034964,-0.01935344690227736,,,1
21,2012-10-03,45.5,45.869999,45.27,45.779999,39.187538,8455800,-0.00611618624106991,0.0019659240272156264,-0.011140214310620511,0.0068176378531417114,0.006817758596025181,-0.009174294652125603,-0.0129750854734616,-0.02034365851922937,-0.023438166741768462,,,1
22,2012-10-04,45.900002,46.389998999999996,45.849998,46.119999,39.478573,8953800,-0.004770099843237174,0.005854293275244782,-0.005854314957812523,0.007426824102814145,0.0074267232608487,-0.012619241383765356,-0.017584549383879877,-0.025455321453931368,-0.02859929376841497,,,1
23,2012-10-05,46.419998,46.5,45.860001000000004,46.279999,39.615524,11893000,0.0030250432805758454,0.004753695003321123,-0.00907515144933324,0.0034692108297746937,0.003468995700528499,-0.0109334315240589,-0.018020732887223945,-0.0249927850401781,-0.02954838871107135,,,1
24,2012-10-08,46.169998,46.459998999999996,45.790001000000004,46.34,39.666885,7033700,-0.0036685800604230323,0.0025895338800170364,-0.011868774277082439,0.0012964779882558286,0.0012964867005167413,-0.007380241691843259,-0.016702641346568625,-0.02288880161127893,-0.02856064523090196,-0.03360380492015547,,0
25,2012-10-09,46.209998999999996,46.540001000000004,46.029999,46.169998,39.521370000000005,10030900,0.000866385136079062,0.00801392713943816,-0.0030322505103855812,-0.0036685800604230323,-0.0036684251863990935,-0.0006930691225071062,-0.010786197131738895,-0.01627316509738641,-0.022991088282048433,-0.027515669374731155,,0
26,2012-10-10,46.169998,46.389998999999996,45.400002,45.599998,39.033443,9475300,0.012500000548245627,0.017324584093183493,-0.00438587738534546,-0.012345679547137944,-0.012345902988686985,0.011008789956525433,0.0028728356523175513,-0.0023830118004243284,-0.00960523178093109,-0.013464878660740198,,0
27,2012-10-11,45.889998999999996,45.919998,45.349998,45.450001,38.905056,7022600,0.009680923879407555,0.010340967869285622,-0.0022002859801917296,-0.003289408039009123,-0.0032891538673643916,0.011397099859249415,0.006666631316465832,0.0017308059758534,-0.005467579637676967,-0.009144146773506279,,1
28,2012-10-12,45.599998,46.0,45.560001,45.619999,39.050583,6844300,-0.00043842613850120227,0.008329702067726874,-0.0013151688144491525,0.0037403299507077215,0.003740567806919559,0.004734769941577399,0.004055249979290965,-0.0009644805121541422,-0.006981576216167684,-0.011459874867599251,,1
29,2012-10-15,45.740002000000004,46.630001,45.689999,46.59,39.88089,10281300,-0.018244215496887706,0.0008585748014595662,-0.01931747156042074,0.02126262650729127,0.021262345814401673,-0.015110555913286472,-0.013908576947842755,-0.01968950132360292,-0.02487659368963291,-0.030040789869070883,-0.03484296487085958,1
30,2012-10-16,46.740002000000004,47.27,46.709998999999996,47.169998,40.377373,11954200,-0.009115879122996717,0.0021200340097535797,-0.009751940205721565,0.012448980467911541,0.012449145442842369,-0.022980683611646735,-0.022429487913058543,-0.028831859041701158,-0.03359123949931053,-0.03955901291325048,-0.04394032692842886,1
31,2012-10-17,47.080002,47.5,47.080002,47.389998999999996,40.565692999999996,10132900,-0.006541401277514125,0.0023211859531797607,-0.006541401277514125,0.004664002741742612,0.004663998324011764,-0.019962009283857718,-0.02357037188373834,-0.029992256383039595,-0.035039031125533304,-0.04160370545692571,-0.0456003273320742,1
32,2012-10-18,47.290001000000004,48.0,47.279999,47.959998999999996,41.053612,10986100,-0.013969933569014326,0.0008340492250635823,-0.01417848236402175,0.012027854231438262,0.012027872912216964,-0.021142619289879483,-0.031338614081288685,-0.037725877906433114,-0.043306916040594334,-0.05024186093081462,-0.054357790263228845,0
33,2012-10-19,47.939999,47.990002000000004,46.880001,47.029999,40.257542,12976500,0.019349351889206057,0.02041256688098181,-0.003189411082062721,-0.019391159703735616,-0.019390985621435708,0.004210078762706182,-0.010588983852625411,-0.015961436302248888,-0.022134801661382042,-0.028560485404220515,-0.033545955068664424,0
34,2012-10-22,46.810001,47.029999,46.189999,46.48,39.786743,14021400,0.007099849397590452,0.011833024956970695,-0.006239264199655703,-0.011694641966715769,-0.011694678229485556,0.015619599827882746,0.0014199462134252272,-0.0025100559380376586,-0.009122217082615958,-0.014931166092943204,-0.020517796184739034,0
35,2012-10-23,46.189999,46.529999,45.869999,45.889998999999996,39.281693,12504200,0.006537372118923024,0.01394639385370211,-0.0004358248079281424,-0.012693653184165266,-0.012693926718253978,0.023098719178442195,0.01368490332719352,0.01092467809089892,0.0044672097290743285,-0.0006885970949792597,-0.006791594540384804,0
36,2012-10-24,45.950001,46.189999,45.799999,45.880001,39.273151,9639700,0.001525719234400258,0.006756713017508353,-0.001743722717006957,-0.00021786882148322473,-0.00021745498596503765,0.01673928908589173,0.014516096021881308,0.011290284554847263,0.005634228299167043,0.0007235919633044041,-0.005594337279984041,1
37,2012-10-25,46.099998,46.34,46.009997999999996,46.299999,39.632659999999994,10971500,-0.004319676119215465,0.0008639525024611849,-0.006263520653639887,0.009154271814423076,0.009154065585417204,0.00034558532063933,0.007149034711642299,0.00237581574605783,-0.002332605881913641,-0.00713606062928851,-0.013434116200880974,0
38,2012-10-26,45.790001000000004,46.77,45.790001000000004,46.150002,39.504257,11940500,-0.0078006713845861775,0.013434408951921606,-0.0078006713845861775,-0.0032396760958892656,-0.003239827960071051,-0.0002167237175850767,0.011570911741239032,0.005445954260197006,0.002047617462725082,-0.0028342906680698388,-0.008400197541342247,0
39,2012-10-31,46.419998,46.709998999999996,45.439999,45.630001,39.059146999999996,13535000,0.017313105033681664,0.023668594703734502,-0.004163970980408216,-0.011267626813970644,-0.011267393283716398,0.0074512249079286,0.020994930506357035,0.015866721837970887,0.013916251064732599,0.008958986435262162,0.004090844384012415,1
